Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 126.0.0.0,,,28-07-2024 13:23:34,28-07-2024 13:23:53,18.932s,FAILED
,,,,,,,
Test Cases/Web/Succes Login,Chrome 126.0.0.0,,,28-07-2024 13:23:34,28-07-2024 13:23:45,10.468s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,28-07-2024 13:23:34,28-07-2024 13:23:36,1.849s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,28-07-2024 13:23:36,28-07-2024 13:23:37,0.644s,PASSED
"setText(findTestObject(""Object Repository/test/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 126.0.0.0,,,28-07-2024 13:23:37,28-07-2024 13:23:39,1.887s,PASSED
"setEncryptedText(findTestObject(""Object Repository/test/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 126.0.0.0,,,28-07-2024 13:23:39,28-07-2024 13:23:39,0.422s,PASSED
"click(findTestObject(""Object Repository/test/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,28-07-2024 13:23:39,28-07-2024 13:23:40,0.377s,PASSED
"click(findTestObject(""Object Repository/test/Page_Swag Labs/button_Add to cart""))",Chrome 126.0.0.0,,,28-07-2024 13:23:40,28-07-2024 13:23:40,0.525s,PASSED
"click(findTestObject(""Object Repository/test/Page_Swag Labs/a_1""))",Chrome 126.0.0.0,,,28-07-2024 13:23:40,28-07-2024 13:23:41,0.592s,PASSED
"click(findTestObject(""Object Repository/test/Page_Swag Labs/button_Checkout""))",Chrome 126.0.0.0,,,28-07-2024 13:23:41,28-07-2024 13:23:41,0.535s,PASSED
"setText(findTestObject(""Object Repository/test/Page_Swag Labs/input_Checkout Your Information_firstName""), ""Peter"")",Chrome 126.0.0.0,,,28-07-2024 13:23:41,28-07-2024 13:23:42,0.886s,PASSED
"setText(findTestObject(""Object Repository/test/Page_Swag Labs/input_Checkout Your Information_lastName""), ""Parker"")",Chrome 126.0.0.0,,,28-07-2024 13:23:42,28-07-2024 13:23:43,0.828s,PASSED
"setText(findTestObject(""Object Repository/test/Page_Swag Labs/input_Checkout Your Information_postalCode""), ""1234567"")",Chrome 126.0.0.0,,,28-07-2024 13:23:43,28-07-2024 13:23:44,0.931s,PASSED
"click(findTestObject(""Object Repository/test/Page_Swag Labs/input_Cancel_continue""))",Chrome 126.0.0.0,,,28-07-2024 13:23:44,28-07-2024 13:23:44,0.529s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,28-07-2024 13:23:44,28-07-2024 13:23:45,0.193s,PASSED
,,,,,,,
Test Cases/Web/Success Checkout Product,Chrome 126.0.0.0,,,28-07-2024 13:23:51,28-07-2024 13:23:53,2.026s,FAILED
"click(findTestObject(""Homepage/button_add_to_cart""))",Chrome 126.0.0.0,,,28-07-2024 13:23:51,28-07-2024 13:23:53,2.010s,FAILED
